symbol,pattern,entry_date,exit_date,pnl_pct,pnl_dollars,capital_after,shares,entry_price
CLX,Falling Wedge,2024-11-05 05:00:00+00:00,2024-11-06 05:00:00+00:00,3.052102991940722,45.11193226844793,7688.215430626637,9.929459036579154,148.8561068692087
COP,Falling Wedge,2024-11-19 05:00:00+00:00,2024-11-25 05:00:00+00:00,-3.0321567120018527,-46.62374804258154,7641.591682584055,14.752676198431285,104.22807804111036
MSI,Double Bottom,2024-11-19 05:00:00+00:00,2024-11-22 05:00:00+00:00,3.5957093637490867,55.289176428848826,7696.880859012904,3.2623789574448248,471.3257123659377
ATO,Double Bottom,2024-11-19 05:00:00+00:00,2024-11-21 05:00:00+00:00,2.457304813277782,37.7845775663907,7734.665436579295,11.147838104378657,137.93195341806862
BLDR,Falling Wedge,2024-11-19 05:00:00+00:00,2024-11-25 05:00:00+00:00,6.851465245277071,105.35108164228257,7840.016518221577,8.703587932772358,176.66772577036986
CNP,Double Bottom,2024-11-19 05:00:00+00:00,2024-11-20 05:00:00+00:00,2.6236430460493083,40.342265902185126,7880.358784123762,53.24587112989725,28.87816563981333
ECL,Falling Wedge,2024-12-03 05:00:00+00:00,2024-12-06 05:00:00+00:00,3.5220481047417906,55.51000544061683,7935.868789564379,6.628955935316018,237.7556544656104
DHI,Falling Wedge,2024-12-03 05:00:00+00:00,2024-12-04 05:00:00+00:00,-2.3676425337658404,-37.31574527725336,7898.553044287126,9.67649696115956,162.8762725964715
CI,Falling Wedge,2024-12-03 05:00:00+00:00,2024-12-05 05:00:00+00:00,-2.3087918327218997,-36.38821599940644,7862.1648282877195,4.8919537437352085,322.1763408624049
CB,Falling Wedge,2024-12-03 05:00:00+00:00,2024-12-06 05:00:00+00:00,-0.3205613765444284,-5.052277319005382,7857.1125509687145,5.657553235323428,278.57833435563816
AVY,Falling Wedge,2024-12-03 05:00:00+00:00,2024-12-12 05:00:00+00:00,-3.260739964951875,-51.39160165110383,7805.720949317611,8.035030574891055,196.15006341729097
MU,Falling Wedge,2024-12-17 05:00:00+00:00,2024-12-19 05:00:00+00:00,-8.2,-128.0138235688088,7677.707125748801,15.001514596138467,104.06577148319248
APH,Ascending Triangle,2024-12-17 05:00:00+00:00,2024-12-18 05:00:00+00:00,-3.4153336099240135,-53.31828221578482,7624.388843533016,21.145562354343905,73.82845458081744
ABBV,Falling Wedge,2024-12-17 05:00:00+00:00,2024-12-23 05:00:00+00:00,4.289131035049651,66.95951994931077,7691.348363482327,9.768083673325114,159.8209272230875
VRTX,Falling Wedge,2024-12-17 05:00:00+00:00,2024-12-19 05:00:00+00:00,-4.179333250965804,-65.2454182224869,7626.10294525984,3.4026668230585053,458.80019145109225
CHRW,Falling Wedge,2024-12-17 05:00:00+00:00,2024-12-20 05:00:00+00:00,-4.162677519398082,-64.98539823683815,7561.117547023002,14.803518545745371,105.457644075584
MDT,Falling Wedge,2024-12-31 05:00:00+00:00,2025-01-08 05:00:00+00:00,3.754952696597062,56.78327744496277,7617.900824467964,20.138480208091586,75.0912429229388
